chain_groups components_hc hc_perp hc_ess final_number_of_components last_perp last_ess N_importance_to_adapt

1 5 0.586617623398 0.331348042698 5 0.609455935625 0.132359046212 6000
1 5 0.614632389052 0.430343565452 5 0.641621577853 0.139759008902 9000
1 5 0.608070381773 0.129272559092 5 0.67613664933 0.28606349298 9000
1 5 0.58858319836 0.160068143084 5 0.60203597593 0.254809943185 6000
1 5 0.577343343952 0.319904687489 5 0.648641220539 0.285116324441 9000
1 5 0.618130093262 0.485541222356 5 0.655975856766 0.24311473144 9000
1 5 0.62641419101 0.480665519312 5 0.617562421738 0.142944501369 9000
1 5 0.629771602861 0.388555070137 5 0.676095041198 0.137544725105 9000
1 5 0.650934162929 0.510459974662 5 0.66989686204 0.302496270123 6000
1 5 0.624759015286 0.477342644095 5 0.333656313534 0.00129338602108 6000
1 5 0.590837349078 0.0509512342191 5 0.637606148891 0.0576364189576 9000
1 5 0.615001888866 0.488587316681 5 0.672767594674 0.298724567801 9000
1 5 0.557886482189 0.0371405217537 5 0.659182756035 0.202501277101 9000
1 5 0.633536712039 0.504448104419 5 0.678308135171 0.437771498217 6000
1 5 0.61421677706 0.281682390078 5 0.640907195063 0.0764287021886 9000
1 5 0.632788844763 0.490486649469 5 0.661852746705 0.282266629495 9000
1 5 0.599220439664 0.345346257484 5 0.574631636802 0.0190553262116 9000
1 5 0.618654781861 0.486084602476 5 0.593461538746 0.0895935765153 9000
1 5 0.606880035021 0.238707897791 5 0.732711378389 0.153521117673 9000
1 5 0.600607475412 0.458260188515 5 0.635989200503 0.225069266206 9000
1 5 0.602445613261 0.323150742106 5 0.61442230498 0.146624333932 6000
1 5 0.622857398447 0.367610257564 5 0.674021405117 0.406893404625 6000
1 5 0.5583198786 0.243865281136 5 0.533935064966 0.0214868036266 9000
1 5 0.626263913481 0.389755975367 5 0.681490024393 0.285647873683 9000
1 5 0.621207435134 0.430529076061 5 0.612295346968 0.0386395804229 9000
1 5 0.626407835273 0.488531054982 5 0.627646235369 0.241231307716 6000
1 5 0.568865451179 0.0426170403661 5 0.495315728721 0.00883907825858 9000
1 5 0.644812563296 0.475746915295 5 0.689117370307 0.352379354413 9000
