chain_groups components_vb vb_perp vb_ess components_vb2 vb2_perp vb2_ess N_importance_to_adapt

1 4 0.840974694398 0.589934349328 4 0.863596009147 0.702631961938 6000
1 4 0.854671764494 0.601959564308 4 0.874536447196 0.759008826209 6000
1 4 0.836733947523 0.680769686796 4 0.857202083944 0.668381058396 6000
1 4 0.843504578651 0.683345988586 4 0.849877446334 0.633139624401 6000
1 4 0.857164885874 0.600541081419 4 0.870465615067 0.691498492028 6000
1 4 0.831305429741 0.606222502368 4 0.858668503137 0.741088430416 6000
1 5 0.872891785448 0.705069084243 5 0.889763823481 0.708698046557 6000
1 5 0.860392813812 0.505923047123 5 0.886000989518 0.729291997165 6000
1 4 0.805024766549 0.616658329326 4 0.823283620978 0.606097961694 6000
1 5 0.881289619939 0.687882640391 5 0.894238395339 0.719286635889 6000
1 4 0.82668617668 0.678747401192 4 0.841248895096 0.650265526511 6000
1 4 0.84288398835 0.627452100568 4 0.826643564269 0.476219906931 6000
1 4 0.852441790091 0.711227620626 4 0.858610737357 0.605309943936 6000
1 5 0.853830596036 0.249273646681 5 0.893289617501 0.64511527035 6000
1 5 0.880589544385 0.75553873328 5 0.895850994391 0.683482764571 6000
1 4 0.847793532004 0.55499045761 4 0.845053221781 0.692394289205 6000
1 5 0.880958421991 0.755234624816 5 0.896308062426 0.686167425129 6000
1 4 0.849418637617 0.70730522349 4 0.861153981583 0.660399076525 6000
1 4 0.842634094532 0.452958379304 4 0.865457445046 0.696564923012 6000
1 5 0.878527857037 0.719072320649 5 0.89400813496 0.737049588643 6000
1 4 0.832083249574 0.685533013871 4 0.856027170324 0.720494584692 6000
1 5 0.877120179268 0.707528403233 5 0.884693382519 0.683126659306 6000
1 5 0.883092775881 0.726564228107 5 0.85237469983 0.102295412575 6000
1 4 0.852915328305 0.548019854373 4 0.86561903937 0.524707548185 6000
1 5 0.880674059365 0.68656757975 5 0.882604112819 0.528654595466 6000
1 5 0.872667716573 0.683582300788 5 0.891932452353 0.729492822943 6000
1 5 0.877409755377 0.729715391 5 0.884389622388 0.70250471971 6000
1 5 0.868491932908 0.6069885219 5 0.883558283789 0.685969321598 6000
1 4 0.829430382415 0.634789087072 4 0.850695993947 0.726409669254 6000
1 5 0.880030629175 0.706360252498 5 0.895199899924 0.696404615192 6000
1 5 0.860879654729 0.637746381797 5 0.857326081756 0.462004569295 6000
1 5 0.866161231651 0.666192415675 5 0.87970771671 0.737582463167 6000
1 5 0.868994724904 0.526461578253 5 0.877598888388 0.742425665027 6000
1 5 0.876471325743 0.611579999613 5 0.895469928355 0.720137010397 6000
1 4 0.858137871683 0.55591765134 4 0.876897336138 0.603219667709 6000
1 4 0.804562358098 0.140142884361 4 0.850629113043 0.711722574453 6000
1 4 0.836910815229 0.67878252034 4 0.858311392391 0.739043369217 6000
1 4 0.786572078961 0.0632206476353 4 0.68364098592 0.421249796306 6000
1 5 0.867314174722 0.676166991903 5 0.889504015189 0.757394447931 6000
1 5 0.883685324104 0.67503217555 5 0.796168707036 0.024844920494 6000
1 5 0.880174111136 0.720501486386 5 0.901630292678 0.800583162321 6000
1 5 0.865893960344 0.591360595141 5 0.893434381231 0.768367729761 6000
1 4 0.780603070639 0.0791893835008 4 0.845973887268 0.657280164042 6000
1 4 0.845793907488 0.406287894949 4 0.777008408259 0.0338728147798 6000
1 5 0.888548440961 0.589397624955 5 0.899072468599 0.469310217326 6000
1 5 0.881122886728 0.685993602851 5 0.897401739722 0.734391650956 6000
1 5 0.880699942215 0.741958961253 5 0.902115272044 0.794262503147 6000
1 4 0.852846064978 0.69256621527 4 0.870721170434 0.707696182194 6000
1 5 0.863774594445 0.656032098731 5 0.881538370104 0.73232441505 6000
1 4 0.590829292093 0.00566024455116 4 0.870106582914 0.542670223086 6000
1 4 0.84656274773 0.60170515277 4 0.849256085628 0.234563653249 6000
1 4 0.844358218748 0.478417125443 4 0.871321247635 0.742495756979 6000
1 5 0.888730167623 0.779695907777 5 0.905439075314 0.808696137229 6000
1 5 0.17200508702 0.000287399511803 5 0.909610542919 0.800346878454 6000
1 5 0.895918011204 0.771854136347 5 0.90585926607 0.643475512179 6000
