chain_groups components_hc hc_perp hc_ess final_number_of_components last_perp last_ess N_importance_to_adapt

2 30 0.513076351976 0.302041896072 30 0.511383215827 0.30478374044 36000
2 30 0.516696646414 0.331437293151 30 0.508812886171 0.292366348479 36000
2 30 0.515253532601 0.332690729878 30 0.515181500741 0.327344247054 36000
2 30 0.506527835771 0.309535018335 30 0.508746157957 0.309267883309 36000
2 30 0.268822782028 0.0497733422716 30 0.49539619545 0.271140432778 72000
2 30 0.47451199249 0.25425574979 30 0.51201367422 0.317691510691 54000
2 30 0.526680156708 0.346455046765 30 0.507010124456 0.314958569267 36000
2 30 0.475679759945 0.255631436245 30 0.503172574343 0.291766185371 36000
2 30 0.505465521101 0.313111386597 30 0.506052069422 0.316819207304 36000
2 30 0.524559540916 0.338713083435 30 0.50980557862 0.297024538904 36000
2 30 0.500620897419 0.303504206659 30 0.496923364625 0.296884634065 36000
2 30 0.479347445945 0.277492859227 30 0.509611706953 0.2911821052 54000
2 30 0.516681483061 0.326243803874 30 0.517821159949 0.321724717464 36000
2 30 0.476525295693 0.28009745834 30 0.496090499897 0.279748763812 36000
2 30 0.395400648849 0.112301020549 30 0.508539469401 0.297324855639 72000
2 30 0.514609395278 0.330025937537 30 0.507487120514 0.30477093124 36000
2 30 0.411426345235 0.197880382181 30 0.507457640883 0.312547271929 54000
2 30 0.403409019145 0.18265451604 30 0.516709245842 0.320728029203 72000
2 30 0.518594095502 0.334604165673 30 0.512052965044 0.30431454539 36000
2 30 0.52496929653 0.34206330593 30 0.50809389034 0.312859434801 36000
2 30 0.405514376202 0.184589862163 30 0.504542291733 0.274056672903 54000
2 30 0.524943247284 0.330842413717 30 0.521455011809 0.324660658018 36000
2 30 0.520367540766 0.322986445174 30 0.508423036537 0.304966626764 36000
2 30 0.525047201809 0.343221847854 30 0.516755777193 0.320736258751 36000
2 30 0.467483803894 0.26081960277 30 0.511543854324 0.305875202059 54000
2 30 0.479760709386 0.278421976829 30 0.50319475558 0.284880894944 36000
2 30 0.526198467431 0.346073081539 30 0.510099720945 0.292388100124 36000
2 30 0.519300652367 0.326302714694 30 0.512369148794 0.319710862427 36000
2 30 0.519423537825 0.33502362874 30 0.51207343717 0.308991334361 36000
2 30 0.519641278875 0.339822709878 30 0.50740761492 0.297903767323 36000
2 30 0.512224028852 0.329789680549 30 0.511465385639 0.316627814981 36000
2 30 0.508889435457 0.311642713147 30 0.517163967563 0.3169762909 36000
2 30 0.526292358891 0.339741543958 30 0.512817736772 0.316049663147 36000
2 30 0.41447171959 0.206878243793 30 0.525852784454 0.314197270948 90000
2 30 0.519179788239 0.33318155841 30 0.51263214586 0.321781920065 36000
2 30 0.474180465809 0.265668484239 30 0.504399287438 0.304425326616 36000
2 30 0.399200638852 0.16525696944 30 0.493611970663 0.272998750987 54000
2 30 0.508060528119 0.325481798814 30 0.502119097681 0.306491448501 36000
2 30 0.517777477407 0.333211058227 30 0.506745715417 0.280251335908 36000
2 30 0.520628522111 0.331679685622 30 0.506261473688 0.311185267255 36000
2 30 0.512002740649 0.322664876322 30 0.506781207749 0.304945758199 36000
2 30 0.514269125962 0.320788121375 30 0.512844995939 0.319126455975 36000
2 30 0.508243171145 0.321410164272 30 0.501650604505 0.306711124902 36000
2 30 0.510586592748 0.306325715807 30 0.509063347642 0.23636316714 36000
2 30 0.516141268845 0.330529790011 30 0.518731175312 0.321849487345 36000
2 30 0.40468319112 0.180061726562 30 0.515873623244 0.303949930732 72000
2 30 0.407369043905 0.188468334888 30 0.512792259122 0.303710933571 72000
2 30 0.520921151745 0.331026225878 30 0.515242566235 0.314746579602 36000
2 30 0.5288906052 0.34612743391 30 0.5234309508 0.320301583152 36000
2 30 0.526772648567 0.330300577891 30 0.521967258892 0.330249066009 36000
2 30 0.51993763047 0.334217934301 30 0.51731964702 0.320172464664 36000
2 30 0.507911515846 0.311046968506 30 0.501630561278 0.295966629111 36000
2 30 0.532492796299 0.351843653793 30 0.522299719823 0.33331622614 36000
2 30 0.41194624947 0.199700422617 30 0.526377055511 0.335635254841 72000
2 30 0.521477409363 0.338657468249 30 0.516027437811 0.314057854448 36000
2 30 0.481171777176 0.276020835116 30 0.518641266395 0.323014011 54000
2 30 0.511342775978 0.325784708832 30 0.510532080761 0.320194624357 36000
2 30 0.289570757986 0.0734105962179 30 0.499944732544 0.258667941247 90000
2 30 0.47263030707 0.274232657936 30 0.496664980262 0.288230781702 36000
2 30 0.277504639908 0.0482803578343 30 0.505205368089 0.290198473426 90000
