chain_groups components_vb vb_perp vb_ess components_vb2 vb2_perp vb2_ess N_importance_to_adapt

2 2 0.53446133338 0.367166876556 2 0.532477857489 0.361786435308 6000
2 2 0.519728944449 0.331194277586 2 0.53368065575 0.366656296149 6000
2 2 0.491361119531 0.308985632296 2 0.534536729098 0.364508180866 6000
2 2 0.521757967608 0.341773740551 2 0.53493529043 0.366252450625 6000
2 2 0.487328201478 0.297540828451 2 0.527796300334 0.352678559744 6000
2 2 0.488666834074 0.301167634339 2 0.530904935527 0.363673885353 6000
2 3 0.508780409832 0.313024639861 3 0.545156458168 0.335870162559 6000
2 2 0.520953471596 0.344319304872 2 0.533629686119 0.364006971627 6000
2 3 0.52277861094 0.326052298866 3 0.561673420313 0.387658882494 6000
2 3 0.558517129332 0.379446166651 3 0.564346163933 0.387451517054 6000
2 2 0.423850571212 0.224484448367 2 0.515460614312 0.333196112666 6000
2 2 0.431430307866 0.240133811862 2 0.513928055614 0.332892709945 6000
2 2 0.487555724441 0.301574787722 2 0.526013791135 0.347517973772 6000
2 2 0.521198608105 0.348779788594 2 0.531070881966 0.360346830109 6000
2 2 0.521646104393 0.343737633688 2 0.536781837682 0.36991920709 6000
2 2 0.422394022574 0.196505294642 2 0.511878823559 0.325759822261 6000
2 2 0.422745823351 0.217034015686 2 0.506900199804 0.318875136213 6000
2 2 0.52194029349 0.34661739675 2 0.530148516601 0.360953700589 6000
2 2 0.525771705813 0.355680031474 2 0.531752375601 0.359553196028 6000
2 2 0.491445901957 0.310874920909 2 0.530299388785 0.358610825195 6000
2 2 0.533864922053 0.368526818423 2 0.533508522348 0.346555525808 6000
2 2 0.536245997769 0.37410663723 2 0.534438490992 0.362033286394 6000
2 2 0.488534579415 0.298796857059 2 0.524277674939 0.340010520107 6000
2 2 0.535578991766 0.370063543108 2 0.529696531772 0.357146587265 6000
2 3 0.566728672235 0.392328627883 3 0.564655440145 0.390346794827 6000
2 2 0.488823874084 0.302334272366 2 0.529854728899 0.355866682331 6000
