chain_groups components_PMC Perplexity_PMC ESS_PMC components_VB Perplexity_VB ESS_VB components_HC Perplexity_HC ESS_HC

2 26 0.215060938194 0.0257605361548 2 0.492330171691 0.308829463497 30 0.482449987368 0.290042717631
2 10 0.268646783465 0.0796511367831 2 0.306564468395 0.106786347278 30 0.296295474131 0.0841932744781
2 30 0.239981557203 0.0571446811562 2 0.523971897269 0.351362785575 30 0.507949639365 0.311487990788
2 10 0.392422488177 0.217658738472 2 0.423535270625 0.217846625371 30 0.399936296421 0.173952286328
2 29 0.241237608283 0.0233529511587 2 0.537856916172 0.374762319829 30 0.527915054355 0.346514985353
2 17 0.38251067982 0.145676516039 2 0.488740107752 0.310319408389 30 0.469627543404 0.264692692056
2 28 0.24719725612 0.0443542583036 2 0.526847138908 0.35779032108 30 0.511475267944 0.325127139849
2 30 0.238991709301 0.0470199542273 2 0.523247385591 0.346748965858 30 0.515422502891 0.330239644958
2 28 0.280204914272 0.0469533108568 2 0.520701845242 0.334284731743 30 0.512922059472 0.326650248727
2 28 0.243892324356 0.0533916725748 2 0.528935044785 0.355931406456 30 0.516149900085 0.323938171656
2 28 0.259800824264 0.0633377160379 2 0.523899702209 0.353545420501 30 0.514714774551 0.320267709568
2 27 0.225755397685 0.0316498858869 2 0.487733528766 0.297668238249 30 0.473032938544 0.269842966555
2 29 0.246119288889 0.0465095473996 2 0.537034195946 0.372411147897 30 0.528902136436 0.342570818179
2 30 0.23606440008 0.0226913668549 2 0.527802037665 0.354657646775 30 0.527033559978 0.352513835373
2 30 0.219612524334 0.0369156592259 2 0.527756350882 0.349139422713 30 0.510254264528 0.323261670734
2 17 0.237338114912 0.00926032591222 2 0.48920576294 0.304803565016 30 0.466273366631 0.253156106065
2 10 0.373731825353 0.177887936424 2 0.418915513342 0.197123772349 30 0.398090672508 0.158461001873
2 27 0.141087624942 0.00116319341562 2 0.522797400497 0.325126502002 30 0.51171830361 0.320312845154
2 27 0.245010569677 0.0513578170367 2 0.49138185638 0.307787842955 30 0.477561021712 0.271524018916
2 7 0.319923232486 0.106734843008 2 0.307953729186 0.105092060896 30 0.295619765789 0.087110154151
2 17 0.41969566624 0.167456722569 2 0.535914500883 0.371633295603 30 0.520481549833 0.33323213157
2 19 0.365688023645 0.143929976447 2 0.52449958026 0.349309072291 30 0.512310749387 0.322936670416
