chain_groups components_PMC Perplexity_PMC ESS_PMC components_VB Perplexity_VB ESS_VB components_HC Perplexity_HC ESS_HC

1 9 0.665371699168 0.252360735374 4 0.791390588079 0.410507044062 15 0.613254950427 0.192822073153
1 10 0.65812214068 0.301545671624 4 0.786369890475 0.466943723023 15 0.625494807643 0.230652455878
1 7 0.75480874708 0.375999610462 3 0.763887464525 0.549494928704 15 0.600465951331 0.264422184568
1 5 0.732518583299 0.0551699288941 4 0.784542358105 0.354774672914 15 0.627646242107 0.39064830959
1 9 0.664164266578 0.35089504004 4 0.80595739186 0.516323861533 15 0.621354600257 0.400473452786
1 13 0.517857522831 0.11204796341 4 0.781680893925 0.397140499795 15 0.620384382175 0.349456164356
1 8 0.6959662135 0.148049945379 4 0.6919433319 0.0446518765419 15 0.607067318375 0.379731456761
1 6 0.757103976917 0.280920862946 4 0.796820084913 0.481148599042 15 0.618381999536 0.251748632762
1 5 0.785537766244 0.23847865801 4 0.768516006674 0.382228964969 15 0.624261550434 0.430979640278
1 8 0.68692167313 0.333402527464 4 0.779180733192 0.157831076591 15 0.620041806967 0.394017665124
1 12 0.544890709005 0.157462745293 4 0.808230980714 0.519796811613 15 0.60013242027 0.0932746004248
1 6 0.782896614488 0.512508193121 4 0.773250219484 0.528708096619 15 0.629809973092 0.424269921426
1 6 0.782476831686 0.390255739212 4 0.767703156583 0.377706843429 15 0.622613486505 0.374697744843
1 8 0.670127722197 0.137472398728 4 0.779427522981 0.248730877985 15 0.622593653025 0.420657002907
1 9 0.669303373654 0.395820406802 4 0.759873457933 0.514909869208 15 0.636213031948 0.445573636949
1 5 0.808861484418 0.528197373267 4 0.774395430775 0.431053196005 15 0.614795821118 0.412586096502
1 9 0.685016668509 0.367290599045 4 0.757226424276 0.340149000238 15 0.630865248665 0.364040190029
1 12 0.609203570522 0.343295462119 4 0.8079964015 0.307309103922 15 0.619161424772 0.3983899726
1 6 0.719051042037 0.103860456763 3 0.753872491134 0.261153835599 15 0.590295016019 0.0617186612295
1 9 0.672645326416 0.123248506206 3 0.760908359117 0.348658382615 15 0.618266923715 0.0972496133199
1 5 0.715783706384 0.12058657666 3 0.711108237182 0.512513646874 15 0.629019293264 0.40516067571
1 9 0.676582969288 0.393498966883 4 0.76900749369 0.467112914671 15 0.614954810426 0.348401738965
1 10 0.628877764359 0.224518569411 4 0.778816843407 0.329365135569 15 0.629752253525 0.311573789822
1 10 0.449360737732 0.00368981432258 4 0.800648947137 0.533921880385 15 0.618044607475 0.347309733455
1 8 0.709192858003 0.183648224301 4 0.798858586275 0.532394349629 15 0.613127122642 0.406850278225
1 9 0.710365442022 0.40438409565 4 0.793863880635 0.347780110184 15 0.601487951089 0.237627471
1 10 0.664986031553 0.353285756039 4 0.815059670622 0.53548324286 15 0.610386687047 0.400292417365
1 11 0.608945102821 0.262112492717 4 0.790708403294 0.47279369291 15 0.640823883697 0.415355550673
1 13 0.52279216444 0.128908485565 4 0.669842008015 0.0199248069452 15 0.619783479833 0.380131328251
1 7 0.649106419349 0.0220153871937 3 0.733791647815 0.476361742518 15 0.58549655215 0.111562351931
1 8 0.719545914206 0.386277333111 4 0.78272401347 0.165832285704 15 0.610062975563 0.220265238889
