chain_groups components_PMC Perplexity_PMC ESS_PMC components_VB Perplexity_VB ESS_VB components_HC Perplexity_HC ESS_HC

1 10 0.188455703358 0.00310162178413 3 0.660835803429 0.13551402156 15 0.543126868509 0.0933785612333
1 10 0.442279249987 0.10126000113 4 0.695130344777 0.228528347772 15 0.62514634762 0.349076885404
1 11 0.369726406241 0.102786630491 3 0.678963196224 0.367641510287 15 0.600483550278 0.281852912442
2 23 0.160634516548 0.0152076316895 4 0.661936049389 0.221571942956 30 0.496319192779 0.0612215251721
1 14 0.256790060448 0.0402330550187 3 0.6268642476 0.0954120051481 15 0.591465410405 0.253988528358
1 13 0.205513422516 0.00867678544929 4 0.638938950031 0.0727974657225 15 0.60390801375 0.244451705825
2 26 0.0716955759871 0.00373114407477 3 0.668171309803 0.373991678496 30 0.541173631312 0.0905973777971
1 11 0.322050608474 0.0509388542729 3 0.632299358408 0.246559508922 15 0.507563336883 0.0209734762801
1 10 0.354628883487 0.0226262544579 4 0.692351822791 0.266969185213 15 0.604570934538 0.240932726577
1 12 0.288014682134 0.0318625923632 3 0.650824266509 0.0343277607191 15 0.571469304475 0.194946874998
1 8 0.50076298176 0.143234018642 3 0.626736502655 0.0511550704317 15 0.592907109892 0.312420240245
1 11 0.348750128551 0.0665883367944 5 0.534978574096 0.0277902111217 15 0.570885035467 0.159579756939
1 11 0.366867057011 0.0368881047448 4 0.668551426646 0.325472419091 15 0.592107271023 0.16512698466
1 12 0.324087385869 0.058737622786 3 0.705194876215 0.346263099297 15 0.576786211359 0.231145685751
1 10 0.402215060939 0.10126200443 3 0.668794193584 0.113448874565 15 0.560420747023 0.115700132976
1 14 0.211507382541 0.0171538029502 3 0.722001560226 0.326955345247 15 0.6127510436 0.277698076578
1 10 0.434958519838 0.106415563618 3 0.695570748921 0.240484997016 15 0.604080882804 0.332349237944
1 13 0.309858231954 0.0448847187318 3 0.648402567819 0.0648499881698 15 0.597877640829 0.224537334028
1 11 0.362143759825 0.0840201067016 2 0.561732138633 0.0875115548278 15 0.60653844054 0.259460977303
1 13 0.246855437948 0.0265552464344 3 0.583702250157 0.0151843937168 15 0.597249815887 0.280543955022
1 10 0.356377399461 0.0457570250042 3 0.654055840154 0.100674199598 15 0.400159281657 0.00326293808749
1 12 0.317355989686 0.0607931514124 3 0.722211778925 0.316365840658 15 0.5843825421 0.170987814867
1 12 0.291300423321 0.024749759909 3 0.648963751152 0.0642006649939 15 0.567006608765 0.062288884583
1 13 0.126028288756 0.000865267185511 3 0.693566308609 0.282916724972 15 0.594233955404 0.231866994838
2 21 0.140585381706 0.00286540823523 4 0.652931420301 0.250166351259 30 0.553697586983 0.267799145298
1 13 0.272981354129 0.0267738207165 3 0.329318784432 0.00126003241052 15 0.591272580355 0.251213511287
2 21 0.169142785712 0.0138253059986 4 0.643104094874 0.0474869421902 30 0.487400930116 0.0436570460823
1 11 0.289430422931 0.00897521358214 4 0.645234218641 0.0935763608553 15 0.612314138349 0.202389217881
1 14 0.224438887427 0.0117947201728 4 0.638686768555 0.14837735614 15 0.572988215562 0.200424626646
1 10 0.386530802991 0.083864148262 3 0.598723098571 0.020176001521 15 0.593460227886 0.143936466334
1 10 0.331670868996 0.0198548699674 3 0.687951087411 0.377464767637 15 0.492393616586 0.0211761336346
1 11 0.329354915687 0.0550090048018 3 0.662453676641 0.128897340235 15 0.591360948017 0.178033267981
1 12 0.274588923062 0.0257638210736 3 0.672587362193 0.331233936761 15 0.604657116318 0.284474859185
1 10 0.407530452001 0.0758239170489 4 0.695143428692 0.311629363084 15 0.609675317472 0.294317276531
1 11 0.37149801649 0.0848201111357 4 0.662313446873 0.144011016022 15 0.617816728119 0.313096969016
1 12 0.350676000306 0.0897730775144 3 0.669008753494 0.148502415991 15 0.632138462981 0.350582346293
1 14 0.249238095596 0.0343639166997 4 0.608973380857 0.0284048882173 15 0.626495253677 0.335736840051
1 10 0.326682510116 0.0159028649855 3 0.675949730905 0.298887953742 15 0.573030802167 0.280460833346
1 12 0.301488838297 0.0337298004771 3 0.702748344673 0.240645045559 15 0.58125595902 0.155636332193
1 13 0.24838393819 0.0173867202569 3 0.656548924377 0.318119021933 15 0.619446165285 0.297291887774
1 13 0.287581068216 0.0507162472834 4 0.625483756831 0.0984589115329 15 0.597024414324 0.206249367159
1 12 0.307296482622 0.031965536075 3 0.637797506397 0.0727453381345 15 0.577294738679 0.153545426304
1 12 0.273632073526 0.00962170492706 3 0.692568992592 0.375080978279 15 0.447672980579 0.00812300454473
1 12 0.297964648717 0.0143222284221 4 0.648817381749 0.0710652590122 15 0.59694205625 0.226583459606
2 24 0.0901560400164 0.00315855552932 4 0.680574315264 0.160970062876 30 0.521268857015 0.0538071839396
1 11 0.364096146605 0.0645074946043 3 0.148016105225 0.000303171271681 15 0.589378923738 0.302865316201
