chain_groups components_VB Perplexity_VB ESS_VB

1 4 0.802265296645 0.5631544816
1 5 0.808286064163 0.53382636456
1 4 0.798467004042 0.289245369879
1 4 0.727078106635 0.278756923616
1 5 0.795873355309 0.368730409475
1 4 0.798691848827 0.592547299089
1 4 0.799593433834 0.502218833728
1 4 0.799876904221 0.503257402729
1 4 0.78624428592 0.327855687239
1 4 0.79163173713 0.50803187691
1 4 0.779460555625 0.492124383612
1 4 0.803630602907 0.603050285523
1 4 0.812586441739 0.558546087954
1 4 0.818082035142 0.61788793674
1 4 0.770747804962 0.492269755589
1 4 0.792005291416 0.490636301891
1 4 0.749196273227 0.398927442062
1 3 0.725499553141 0.417837506701
1 4 0.764052321719 0.187262196559
1 4 0.809266650066 0.556347630976
1 3 0.732467045014 0.0784246535003
1 4 0.774951073037 0.557983276224
1 3 0.670608844412 0.241648600014
1 3 0.702127570007 0.0584444131192
1 4 0.794076080538 0.584546565353
1 4 0.794766023119 0.535807516225
1 4 0.782113631846 0.312505371623
1 4 0.783682187351 0.495601306308
1 4 0.763853321313 0.442827860843
1 4 0.803687529482 0.558481891398
1 4 0.778609239067 0.458897603327
1 4 0.80442862739 0.61145773758
1 4 0.75055065048 0.303101045938
1 4 0.766925720855 0.333070298705
1 4 0.782644575957 0.405510482351
1 4 0.814111354645 0.549717697273
1 4 0.744652934521 0.479681056323
1 3 0.723721736678 0.544935742282
1 4 0.766288193897 0.467667636322
1 4 0.789771857415 0.26533457969
1 4 0.782483616658 0.503616770674
1 4 0.794801104423 0.467138281543
1 4 0.784926788658 0.410194918544
1 4 0.786334775076 0.572975164625
1 4 0.764016825027 0.122144059538
1 4 0.781656283157 0.514914368749
1 4 0.784003989548 0.551233617199
1 5 0.799529880042 0.51427128565
1 4 0.78136204199 0.511954813115
1 4 0.818870595388 0.526371766652
1 4 0.79151479377 0.521613799553
1 4 0.765860305839 0.488059882042
1 4 0.795476001147 0.557012468624
1 4 0.743552417495 0.144365326959
1 4 0.779215950538 0.568380136777
1 4 0.809804605989 0.494510922286
1 4 0.808603772962 0.595991178784
1 3 0.702616636793 0.323954083404
1 4 0.793346629016 0.545261217303
1 3 0.713684627553 0.358546022739
1 4 0.775260368662 0.517776029244
1 4 0.755467402725 0.381393400844
1 3 0.732082250053 0.26104242055
1 4 0.791423006913 0.284767618284
1 4 0.807372605459 0.5696870321
1 4 0.799749328762 0.592125102139
1 4 0.768112442116 0.451539603821
1 4 0.765847944067 0.107340750755
1 5 0.81051843214 0.518847731261
1 4 0.784975707619 0.339375732009
1 4 0.798441161825 0.577923028846
1 4 0.763304819686 0.500340828869
1 4 0.814796213984 0.501850340446
1 3 0.703870289151 0.203420563417
1 4 0.794750089269 0.509315183045
1 3 0.746662124912 0.555578177745
1 4 0.781011392948 0.474018114233
1 4 0.806021989284 0.502356705721
1 4 0.771302996394 0.496065017636
1 4 0.795192013192 0.519149925428
1 4 0.797726547761 0.366233655404
1 3 0.7393069964 0.318381759975
1 4 0.807575772936 0.578659124028
1 3 0.734406944332 0.388517872065
1 5 0.811463315388 0.460434440587
1 3 0.728283740235 0.449529328353
1 4 0.780616213699 0.432018141353
1 4 0.78191417668 0.475671482707
1 3 0.747856131845 0.513415518025
1 4 0.799764516576 0.571898173386
1 3 0.739638972588 0.51996072782
1 4 0.804386235778 0.582171654125
1 4 0.796324614078 0.390087631304
1 4 0.768453443356 0.412809016541
1 4 0.771020613546 0.442049365484
1 4 0.747851247506 0.400877337974
1 4 0.810252249419 0.579735194305
1 4 0.817470225364 0.579296963232
1 4 0.801981017653 0.617748022477
1 4 0.761597004624 0.385255668352
