chain_groups components_VB Perplexity_VB ESS_VB

1 5 0.786220539702 0.361180153772
1 4 0.804363146708 0.582863460507
1 5 0.796126053131 0.306760829226
1 5 0.79595504716 0.475982330243
1 5 0.781264602538 0.519562997408
1 5 0.696127005988 0.0691855739659
1 4 0.782597928036 0.433496966773
1 5 0.765710670509 0.421415665265
1 4 0.791238345908 0.42254473254
1 4 0.781004629281 0.282407234241
1 4 0.787293723416 0.577854569068
1 4 0.775834147009 0.190920368515
1 4 0.798661944846 0.490270900983
1 4 0.785190129615 0.489031867543
1 5 0.715049373586 0.0369597253635
1 4 0.818922542107 0.630889817407
1 4 0.598588153302 0.00674741514897
1 3 0.706442656092 0.516205366613
